#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              5195.8          2.5188e-15                       |         5.76989990e+14      2.26818164e-29                    
              5199.8          2.5337e-15                       |         5.76546134e+14      2.28511345e-29                    
              5203.8          2.5327e-15                       |         5.76102961e+14      2.28772722e-29                    
              5207.9          2.5372e-15                       |         5.75649415e+14      2.29540473e-29                    
              5211.9          2.5723e-15                       |         5.75207619e+14      2.33073588e-29                    
              5215.9          2.5813e-15                       |         5.74766501e+14      2.34248215e-29                    
              5219.9          2.5996e-15                       |         5.74326058e+14      2.36270875e-29                    
                5224           2.625e-15                       |         5.73875304e+14      2.38954349e-29                    
                5228          2.6361e-15                       |         5.73436226e+14      2.40332406e-29                    
                5232          2.6234e-15                       |         5.72997819e+14      2.39540681e-29                    
                5236          2.6416e-15                       |         5.72560082e+14      2.41571462e-29                    
              5240.1          2.6192e-15                       |         5.72112095e+14      2.39898265e-29                    
              5244.1           2.631e-15                       |         5.71675710e+14      2.41347094e-29                    
              5248.1          2.6053e-15                       |         5.71239990e+14      2.39354303e-29                    
              5252.1           2.588e-15                       |         5.70804933e+14      2.38127493e-29                    
              5256.2          2.5978e-15                       |         5.70359688e+14      2.39402550e-29                    
              5260.2          2.6177e-15                       |         5.69925970e+14      2.41603757e-29                    
              5264.2          2.6408e-15                       |         5.69492913e+14      2.44106626e-29                    
              5268.2          2.6325e-15                       |         5.69060512e+14      2.43709346e-29                    
              5272.2          2.6203e-15                       |         5.68628768e+14      2.42948413e-29                    
              5276.3          2.5931e-15                       |         5.68186909e+14      2.40800576e-29                    
              5280.3          2.6142e-15                       |         5.67756489e+14      2.43128181e-29                    
              5284.3          2.6102e-15                       |         5.67326721e+14      2.43124100e-29                    
              5288.3          2.6133e-15                       |         5.66897602e+14      2.43781493e-29                    
              5292.4           2.574e-15                       |         5.66458429e+14      2.40487861e-29                    
              5296.4          2.5899e-15                       |         5.66030623e+14      2.42339298e-29                    
              5300.4          2.5783e-15                       |         5.65603462e+14      2.41618417e-29                    
              5304.4          2.5982e-15                       |         5.65176946e+14      2.43850925e-29                    
              5308.5          2.5761e-15                       |         5.64740433e+14      2.42150660e-29                    
              5312.5          2.5523e-15                       |         5.64315217e+14      2.40275175e-29                    
              5316.5          2.5136e-15                       |         5.63890640e+14      2.36988406e-29                    
              5320.5          2.4838e-15                       |         5.63466702e+14      2.34531301e-29                    
              5324.6          2.4693e-15                       |         5.63032827e+14      2.33521638e-29                    
              5328.6           2.446e-15                       |         5.62610177e+14      2.31665834e-29                    
              5332.6          2.4095e-15                       |         5.62188161e+14      2.28551588e-29                    
              5336.6          2.4148e-15                       |         5.61766778e+14      2.29398074e-29                    
              5340.6          2.4084e-15                       |         5.61346027e+14      2.29133198e-29                    
              5344.7          2.4053e-15                       |         5.60915410e+14      2.29189762e-29                    
              5348.7          2.4264e-15                       |         5.60495932e+14      2.31546474e-29                    
              5352.7           2.427e-15                       |         5.60077081e+14      2.31950268e-29                    
              5356.7          2.4446e-15                       |         5.59658855e+14      2.33981625e-29                    
              5360.8          2.4435e-15                       |         5.59230822e+14      2.34234493e-29                    
              5364.8          2.4303e-15                       |         5.58813859e+14      2.33316931e-29                    
              5368.8          2.4146e-15                       |         5.58397517e+14      2.32155482e-29                    
              5372.8          2.4103e-15                       |         5.57981795e+14      2.32087497e-29                    
              5376.9          2.3926e-15                       |         5.57556322e+14      2.30734913e-29                    
              5380.9          2.3615e-15                       |         5.57141852e+14      2.28074687e-29                    
              5384.9          2.3476e-15                       |         5.56727997e+14      2.27069436e-29                    
              5388.9          2.3164e-15                       |         5.56314756e+14      2.24384628e-29                    
                5393          2.3268e-15                       |         5.55891821e+14      2.25735151e-29                    
                5397          2.2857e-15                       |         5.55479820e+14      2.22076887e-29                    
                5401          2.2876e-15                       |         5.55068430e+14      2.22591070e-29                    
                5405          2.2704e-15                       |         5.54657648e+14      2.21244799e-29                    
              5409.1          2.2784e-15                       |         5.54237228e+14      2.22361343e-29                    
              5413.1          2.2597e-15                       |         5.53827675e+14      2.20862601e-29                    
              5417.1          2.2569e-15                       |         5.53418728e+14      2.20915057e-29                    
              5421.1          2.2294e-15                       |         5.53010384e+14      2.18545631e-29                    
              5425.1          2.2342e-15                       |         5.52602641e+14      2.19339495e-29                    
              5429.2          2.1904e-15                       |         5.52185329e+14      2.15364644e-29                    
              5433.2          2.1822e-15                       |         5.51778803e+14      2.14874674e-29                    
              5437.2           2.201e-15                       |         5.51372874e+14      2.17045084e-29                    
              5441.2          2.1667e-15                       |         5.50967542e+14      2.13977179e-29                    
